Combustível calcinador (t/h),Combustível forno (t/h),Alimentação (t/h),Velocidade do exaustor(%),Temperatura Ar Secundário,O2% - CAIXA,NOx (ppm) - CAIXA,O2% - Saida da Torre de ciclone,Temperatura na Caixa de Fumaça ,Torque do Motor ,CaO Livre
11.563222033892366,9.348879550820794,364.7532586538888,64.68760766084281,1080.5150620694883,3.405098231534433,1029.7311121536582,4.2608585487519814,1036.8323092329035,44.144595131159384,1.4393133333333332
11.565151964844185,9.350874130418552,364.81327410042525,64.68757717034379,1080.7613316647153,3.404632326831204,1029.2967015524596,4.260234994474552,1036.8931982497243,44.13667254441226,1.4427977777777778
11.568142590982333,9.352871333117678,364.87471491865847,64.68768701101544,1081.0000421604298,3.4035557795844906,1028.707470377235,4.2600646987600985,1036.9524020211481,44.12649413915367,1.4462831111111112
11.573524142534064,9.35486662278066,364.93424939618984,64.68785257321109,1081.1441564802521,3.402859480612108,1028.517480472783,4.2578903171532465,1036.999842956222,44.114866113046816,1.449814666666667
11.578307541304438,9.356864378403474,364.99441826240786,64.68781476364657,1081.2542772381366,3.4017757246977687,1028.8326986244901,4.2559003779136875,1037.0503485124539,44.10261633886304,1.453327111111111
11.581739371522323,9.358863505863487,365.0547435541516,64.68794582693207,1081.2764591532691,3.3989522681837068,1029.037755470496,4.253377111058772,1037.1283508136783,44.103395144586095,1.4567671111111113
11.584338806046441,9.36086986047624,365.114593686158,64.68781583276467,1081.3107580488888,3.3965791900745312,1029.1650058609425,4.2510500106773055,1037.2079240984888,44.10376036114735,1.460208
11.587810946949192,9.362870117102071,365.1780022736637,64.68769562910543,1081.3612694535245,3.3949896357224048,1029.379662411935,4.248840860387622,1037.287465609795,44.10667667934847,1.463649777777778
11.592881080985372,9.364868670528848,365.2449731205361,64.68771275945888,1081.4184869049993,3.393980180319108,1029.593694940417,4.24707083558397,1037.3610351097284,44.10938386524173,1.4670924444444444
11.597858676266418,9.36686792003716,365.31222482598156,64.6876771691346,1081.488855440052,3.3929046048775975,1029.5964416770578,4.245345618340546,1037.4274094857235,44.11270272431131,1.4705359999999998
11.600221807795737,9.368872807808046,365.3809315918809,64.68772401992234,1081.6327902369217,3.3928581382253666,1029.586972574008,4.243172714130878,1037.5038915452203,44.115944073106164,1.4739671111111112
11.5994278675688,9.370867046042372,365.44842239487826,64.68771031445985,1081.7999948378533,3.391419623865452,1029.8112954474968,4.241499169801404,1037.5946927692403,44.12504227711762,1.477399111111111
11.60219790876044,9.372870398652978,365.51577854318066,64.68749649055479,1081.8079836922332,3.3897835963760103,1030.3441952509238,4.23957201440357,1037.6839308877381,44.13217094235644,1.4808433333333333
11.606844609201048,9.37407035670643,365.5825886761696,64.68747416005162,1081.7334025978753,3.388820592001374,1031.6798090108728,4.237448222011214,1037.7591289116676,44.1455932353109,1.4842997777777778
11.610213836580188,9.375268292872557,365.65039101552685,64.68768008984992,1081.8103684106272,3.3918098291006316,1032.8564220696314,4.235810179786813,1037.8331708136266,44.15779252786464,1.4877671111111113
11.611896960758738,9.376464357120183,365.7182642623144,64.6876719697018,1082.024647105082,3.3944652225075003,1033.779281600348,4.235485322012126,1037.9138035325198,44.165310724789286,1.4912466666666666
11.613733018956792,9.377663463181674,365.7862825577135,64.68762410964729,1082.2681509324507,3.3981478761513975,1034.7587362995853,4.234295157423465,1037.9922459955878,44.178161048562714,1.494794888888889
11.615022572042427,9.378862580268091,365.8542951197625,64.6877966699072,1082.507856490529,3.4018520914960666,1035.4862263914542,4.23432515683474,1038.075489432818,44.190423370215726,1.4983513333333334
11.61714845206874,9.380059695529285,365.92350211962037,64.68791430231043,1082.7455188708122,3.4061348914945713,1035.8951292311926,4.234514952094754,1038.1595825681193,44.20112311923591,1.501916
11.618877398554929,9.381260914033508,365.99145731549976,64.68790490693084,1082.9758154215926,3.4101144872324984,1036.0411789895109,4.234895694265998,1038.242189157335,44.21116094136684,1.5054888888888889
11.621329121751872,9.38245597688033,366.0524668027141,64.68791117711761,1083.1935130068953,3.413656339738945,1035.9669563433463,4.234586494615136,1038.3219269761526,44.22329394021381,1.50907
11.62342047560101,9.383657721108552,366.100818272192,64.6877375382625,1083.3837631095394,3.4158676149642067,1035.875377789516,4.233675223847392,1038.4005395942481,44.23373709265291,1.5126593333333334
11.62590593125399,9.38485557504931,366.1495739555524,64.68773746184641,1083.5577674868316,3.417619572829138,1035.7829938674588,4.232580965662927,1038.483727865577,44.24791756668629,1.516256888888889
